"year","region","indicator_name","indicator_category","value","unit","value_type","source_name","source_detail","source_year","is_outlook_context","include_in_scorecard","coverage_quality","region_mapping","notes"
"2025","China","ev_battery_demand_share","ev_battery_demand","60","% of global EV battery deployment","direct_reported","IEA Global EV Outlook 2026","Electric vehicle batteries section; regional EV battery deployment paragraph, 2025","2026","false","true","medium","direct_region","Source reports rounded textual share; entered using project convention for approximate source values."
"2025","EU","ev_battery_demand_share","ev_battery_demand","15","% of global EV battery deployment","direct_reported","IEA Global EV Outlook 2026","Electric vehicle batteries section; regional EV battery deployment paragraph, 2025","2026","false","true","medium","eu_reported","Source reports almost 15%; entered as 15 using rounded-value convention."
"2025","United States","ev_battery_demand_share","ev_battery_demand","10","% of global EV battery deployment","direct_reported","IEA Global EV Outlook 2026","Electric vehicle batteries section; regional EV battery deployment paragraph, 2025","2026","false","true","medium","direct_region","Source reports rounded textual share; entered using project convention for approximate source values."
"2025","Rest of World","ev_battery_demand_share","ev_battery_demand","15","% of global EV battery deployment","residual","IEA Global EV Outlook 2026","Electric vehicle batteries section; regional EV battery deployment paragraph, 2025","2026","false","true","low","global_minus_selected_regions","Residual calculated as 100 minus China, EU, and United States using rounded source values; residual is approximate and not a directly reported homogeneous region."
"2025","China","battery_manufacturing_capacity_share","market_concentration","80","% of global lithium-ion battery manufacturing capacity","direct_reported","IEA Global EV Outlook 2026","Electric vehicle batteries section; battery manufacturing capacity paragraph, 2025","2026","false","true","medium","direct_region","Source reports over 80%; entered as 80 as a lower-bound rounded value, not a precise estimate."
"2025","EU","battery_manufacturing_capacity_share","market_concentration","6.5","% of global lithium-ion battery manufacturing capacity","direct_reported","IEA Global EV Outlook 2026","Electric vehicle batteries section; battery manufacturing capacity paragraph, 2025","2026","false","true","medium","eu_reported","Source reports 6-7% each for the EU and United States; entered as midpoint 6.5 using project range convention."
"2025","United States","battery_manufacturing_capacity_share","market_concentration","6.5","% of global lithium-ion battery manufacturing capacity","direct_reported","IEA Global EV Outlook 2026","Electric vehicle batteries section; battery manufacturing capacity paragraph, 2025","2026","false","true","medium","direct_region","Source reports 6-7% each for the EU and United States; entered as midpoint 6.5 using project range convention."
"2025","Rest of World","battery_manufacturing_capacity_share","market_concentration","7","% of global lithium-ion battery manufacturing capacity","residual","IEA Global EV Outlook 2026","Electric vehicle batteries section; battery manufacturing capacity paragraph, 2025","2026","false","true","low","global_minus_selected_regions","Residual calculated as 100 minus China, EU, and United States using rounded source values; approximate because China is reported as over 80%."
"2025","China","lithium_mine_production_share","lithium_supply_dependency","21.4","% of global lithium mine production","calculated_share","USGS Mineral Commodity Summaries 2026","Lithium; World Mine Production and Reserves table, 2025 mine production","2026","false","true","medium","country_to_region_sum","Calculated as China 2025 mine production 62000 divided by USGS rounded world total 290000 excluding U.S. production; rounded to one decimal."
"2025","EU","lithium_mine_production_share","lithium_supply_dependency","0.1","% of global lithium mine production","calculated_share","USGS Mineral Commodity Summaries 2026","Lithium; World Mine Production and Reserves table, 2025 mine production","2026","false","true","medium","country_to_region_sum","Calculated from disclosed EU-member production in USGS table; Portugal 2025 mine production 380 divided by USGS rounded world total 290000 excluding U.S. production; rounded to one decimal."
"2025","United States","lithium_mine_production_share","lithium_supply_dependency","0","% of global lithium mine production","mapped_proxy","USGS Mineral Commodity Summaries 2026","Lithium; World Mine Production and Reserves table, 2025 mine production","2026","false","true","low","country_to_region_sum","U.S. mine production is withheld by USGS; entered as 0 for disclosed-data scorecard proxy, not as proof of zero production."
"2025","Rest of World","lithium_mine_production_share","lithium_supply_dependency","78.5","% of global lithium mine production","residual","USGS Mineral Commodity Summaries 2026","Lithium; World Mine Production and Reserves table, 2025 mine production","2026","false","true","medium","global_minus_selected_regions","Residual calculated as 100 minus China, EU, and United States disclosed-data shares; world total excludes U.S. production and Rest of World is not a homogeneous region."
